DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,LarcenyCode,Arrest,LAT,LONG,ObjectId,x,y
1/2/2025 12:00:00 AM,1806,1806,1 DESTINY USA DR,LARCENY,Shoplifting,,43.067961,-76.1737229999999,1,-8479620.05618786,5322321.931704
1/4/2025 12:00:00 AM,2015,2015,100 PARKWAY DR     ,AGGRAVATED ASSAULT,,Yes,43.024703856,-76.159546996,2,-8478041.9906411,5315732.78196727
1/2/2025 12:00:00 AM,30,45,100 PARKWAY DR     ,AGGRAVATED ASSAULT,All Other,Yes,43.024703856,-76.159546996,3,-8478041.9906411,5315732.78196727
1/1/2025 12:00:00 AM,1630,2234,1500 E FAYETTE ST     ,MV THEFT,Of Bicycle,,43.0482510000001,-76.1251275,4,-8474210.42987302,5319319.02729025
1/3/2025 12:00:00 AM,1811,1811,100 POND ST     ,AGGRAVATED ASSAULT,,Yes,43.0633944090001,-76.153308322,5,-8477347.5046282,5321626.10573951
1/1/2025 12:00:00 AM,1900,1700,100 SOUTH AV   ,AGGRAVATED ASSAULT,,Yes,43.039233446,-76.159177476,6,-8478000.85586287,5317945.48535945
1/1/2025 12:00:00 AM,131,131,300 APPLE ST     ,AGGRAVATED ASSAULT,,Yes,43.0513020000001,-76.1764679999999,7,-8479925.62819009,5319783.79730256
1/3/2025 12:00:00 AM,0,1429,100 TEMPLE PL     ,LARCENY,All Other,,43.0245270620001,-76.1599553089999,8,-8478087.44383635,5315705.86133012
1/5/2025 12:00:00 AM,8,8,1100 ERIE BLVD E ,MV THEFT,Of Bicycle,,43.0506317620001,-76.134167405,9,-8475216.74749444,5319681.69550996
1/2/2025 12:00:00 AM,1909,1909,1400 ERIE BLVD E,MV THEFT,Of Bicycle,,43.0503606830001,-76.127591562,10,-8474484.72800015,5319640.40056779
1/2/2025 12:00:00 AM,140,143,1400 ERIE BLVD E ,MV THEFT,Of Bicycle,,43.0503606830001,-76.127591562,11,-8474484.72800015,5319640.40056779
1/1/2025 12:00:00 AM,200,200,500 BUTTERNUT ST     ,AGGRAVATED ASSAULT,,Yes,43.0590330000001,-76.1475645,12,-8476708.10528795,5320961.592396
1/4/2025 12:00:00 AM,1539,1539,500 HAWLEY AV   ,BURGLARY,From Building,,43.0529670000001,-76.1362110009999,13,-8475444.23956055,5320037.44260641
1/1/2025 12:00:00 AM,812,812,1400 S  SALINA ST     ,LARCENY,From Building,,43.0329681110001,-76.148895424,14,-8476856.26306992,5316991.27664418
1/2/2025 12:00:00 AM,36,36,900 E BRIGHTON AV   ,LARCENY,Shoplifting,,43.0043400000001,-76.1309190009999,15,-8474855.13681527,5312632.4625316
1/2/2025 12:00:00 AM,1300,1300,1500 COURT ST     ,AGGRAVATED ASSAULT,,,43.078253596,-76.1464738729999,16,-8476586.69724566,5323890.43734196
1/3/2025 12:00:00 AM,1130,1130,1800 MIDLAND AV   ,LARCENY,All Other,,43.021774522,-76.1500266849999,17,-8476982.19446839,5315286.73871982
1/4/2025 12:00:00 AM,1432,1432,200 OAKDALE DR     ,LARCENY,All Other,,43.006906605,-76.15739567,18,-8477802.50612625,5313023.16174301
1/2/2025 12:00:00 AM,310,310,2000 S GEDDES ST     ,MV THEFT,Of Bicycle,,43.027760653,-76.175119969,19,-8479775.5660656,5316198.25641948
